round,emission_micro,total_supply_micro,halving_index
354,100,35400,0
355,100,35500,0
356,100,35600,0
357,100,35700,0
358,100,35800,0
359,100,35900,0
360,100,36000,0
361,100,36100,0
362,100,36200,0
363,100,36300,0
364,100,36400,0
365,100,36500,0
366,100,36600,0
367,100,36700,0
368,100,36800,0
369,100,36900,0
370,100,37000,0
371,100,37100,0
372,100,37200,0
373,100,37300,0
374,100,37400,0
375,100,37500,0
376,100,37600,0
377,100,37700,0
378,100,37800,0
379,100,37900,0
380,100,38000,0
381,100,38100,0
382,100,38200,0
383,100,38300,0
384,100,38400,0
385,100,38500,0
386,100,38600,0
387,100,38700,0
388,100,38800,0
389,100,38900,0
390,100,39000,0
391,100,39100,0
392,100,39200,0
393,100,39300,0
394,100,39400,0
395,100,39500,0
396,100,39600,0
397,100,39700,0
398,100,39800,0
399,100,39900,0
400,100,40000,0
401,100,40100,0
402,100,40200,0
403,100,40300,0
404,100,40400,0
405,100,40500,0
406,100,40600,0
407,100,40700,0
408,100,40800,0
409,100,40900,0
410,100,41000,0
411,100,41100,0
412,100,41200,0
413,100,41300,0
414,100,41400,0
415,100,41500,0
416,100,41600,0
417,100,41700,0
418,100,41800,0
419,100,41900,0
420,100,42000,0
421,100,42100,0
422,100,42200,0
423,100,42300,0
424,100,42400,0
425,100,42500,0
426,100,42600,0
427,100,42700,0
428,100,42800,0
429,100,42900,0
430,100,43000,0
431,100,43100,0
432,100,43200,0
433,100,43300,0
434,100,43400,0
435,100,43500,0
436,100,43600,0
437,100,43700,0
438,100,43800,0
439,100,43900,0
440,100,44000,0
441,100,44100,0
442,100,44200,0
443,100,44300,0
444,100,44400,0
445,100,44500,0
446,100,44600,0
447,100,44700,0
448,100,44800,0
449,100,44900,0
450,100,45000,0
451,100,45100,0
452,100,45200,0
453,100,45300,0
454,100,45400,0
455,100,45500,0
456,100,45600,0
457,100,45700,0
458,100,45800,0
459,100,45900,0
460,100,46000,0
461,100,46100,0
462,100,46200,0
463,100,46300,0
464,100,46400,0
465,100,46500,0
466,100,46600,0
467,100,46700,0
468,100,46800,0
469,100,46900,0
470,100,47000,0
471,100,47100,0
472,100,47200,0
473,100,47300,0
474,100,47400,0
475,100,47500,0
476,100,47600,0
477,100,47700,0
478,100,47800,0
479,100,47900,0
480,100,48000,0
481,100,48100,0
482,100,48200,0
483,100,48300,0
484,100,48400,0
485,100,48500,0
486,100,48600,0
